0,362.18
0.004,347.67
0.008,297.53
0.012,241.58
0.016,294.2
0.02,176.24
0.024,264.36
0.028,305.98
0.032,302.26
0.036,314.12
0.04,346.57
0.044,275.94
0.048,288.72
0.052,275.72
0.056,224.13
0.06,279.08
0.064,345.92
0.068,233.76
0.072,175.88
0.076,295.85
0.08,339.56
0.084,203.07
0.088,145.11
0.092,208.1
0.096,82.773
0.1,250.3
0.104,353.58
0.108,214.18
0.112,325.9
0.116,83.396
0.12,256.7
0.124,194.37
0.128,270.02
0.132,348.23
0.136,208.74
0.14,154.66
0.144,289.33
0.148,262.45
0.152,-209
0.156,86.696
0.16,242.84
0.164,349.33
0.168,78.593
0.172,170.07
0.176,234.25
0.18,149.16
0.184,234.19
0.188,305.89
0.192,203.31
0.196,174.32
0.2,78.397
0.204,252.56
0.208,142.17
0.212,121.85
0.216,-49
0.22,117.19
0.224,161.8
0.228,74.172
0.232,333.66
0.236,102.04
0.24,191.57
0.244,144.56
0.248,290.1
0.252,245.02
0.256,295.4
0.26,177.82
0.264,91.327
0.268,33.232
0.272,208
0.276,247.05
0.28,167.67
0.284,156.29
0.288,322.4
0.292,300.93
0.296,257.31
0.3,195.46
0.304,103.2
0.308,121.5
0.312,51.182
0.316,254.46
0.32,243.53
0.324,170.27
0.328,85.524
0.332,146.94
0.336,77.09
0.34,194.89
0.344,192.61
0.348,109.91
0.352,28.303
0.356,222.85
0.36,93.569
0.364,135.91
0.368,111.41
0.372,90.364
0.376,109.48
0.38,206.12
0.384,84.752
0.388,124.66
0.392,13.48
0.396,205.54
0.4,94.811
